epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,983.531,1.44082,4.4475,1.58947,0.81348,0.70477,0.78618,0.40798,1.82822,4.97543,1.86475,0.000191894,0.000191894,0.000191894
43,1006.58,1.42914,4.47153,1.57765,0.77815,0.7295,0.76613,0.39641,1.92126,5.04004,1.9659,0.000188697,0.000188697,0.000188697
44,1029.44,1.4097,4.46087,1.58536,0.82627,0.72212,0.78763,0.44226,1.78604,4.88087,1.81765,0.000185499,0.000185499,0.000185499
45,1052.42,1.42463,4.47889,1.58231,0.76996,0.71011,0.78006,0.42819,1.79384,4.82163,1.86328,0.000182301,0.000182301,0.000182301
46,1075.71,1.40412,4.37885,1.55721,0.83194,0.70469,0.78782,0.42681,1.80899,4.90151,1.84157,0.000179103,0.000179103,0.000179103
47,1098.44,1.4161,4.35018,1.55854,0.769,0.75029,0.78709,0.40915,1.83133,5.1656,1.90589,0.000175906,0.000175906,0.000175906
48,1120.4,1.38889,4.37555,1.55748,0.83712,0.70496,0.77075,0.39732,1.84135,5.13514,1.90217,0.000172708,0.000172708,0.000172708
49,1143.96,1.39761,4.22222,1.56332,0.76201,0.73028,0.77016,0.4143,1.75978,5.06627,1.84409,0.00016951,0.00016951,0.00016951
50,1166.52,1.36121,4.22889,1.53922,0.7337,0.7771,0.79213,0.43668,1.75528,4.76719,1.8247,0.000166313,0.000166313,0.000166313
51,1189.55,1.34626,3.96948,1.5054,0.80993,0.70279,0.7814,0.40784,1.87997,5.35877,1.92251,0.000163115,0.000163115,0.000163115
52,1212.52,1.37408,4.16465,1.55476,0.81533,0.7065,0.78366,0.4282,1.81317,5.13888,1.90498,0.000159917,0.000159917,0.000159917
53,1235.18,1.36947,3.99896,1.52185,0.78389,0.72665,0.76268,0.40366,1.86374,5.43686,1.92825,0.00015672,0.00015672,0.00015672
54,1258.12,1.37263,4.3891,1.55065,0.83181,0.73602,0.79024,0.42149,1.80918,4.95859,1.88302,0.000153522,0.000153522,0.000153522
55,1281.22,1.36971,4.08522,1.51828,0.76094,0.75459,0.76602,0.41099,1.85305,4.8514,1.87426,0.000150324,0.000150324,0.000150324
56,1305.04,1.35627,3.88169,1.5187,0.86272,0.72083,0.79122,0.43884,1.73166,4.88522,1.82704,0.000147126,0.000147126,0.000147126
57,1328.24,1.36338,3.83318,1.53143,0.82127,0.70571,0.77902,0.42117,1.8492,4.8162,1.91542,0.000143929,0.000143929,0.000143929
58,1350.94,1.29509,3.81906,1.50715,0.83544,0.75296,0.79393,0.43794,1.76081,4.96648,1.8553,0.000140731,0.000140731,0.000140731
59,1374.95,1.33501,3.79736,1.52266,0.79995,0.75342,0.80479,0.43016,1.80325,5.10359,1.87146,0.000137533,0.000137533,0.000137533
60,1398.23,1.32113,3.7991,1.49986,0.88092,0.7338,0.81398,0.44796,1.70109,4.63239,1.79291,0.000134336,0.000134336,0.000134336
61,1421.91,1.33601,3.81019,1.52021,0.84783,0.74699,0.81148,0.44264,1.74531,4.76326,1.81525,0.000131138,0.000131138,0.000131138
62,1444.57,1.30378,3.63715,1.47785,0.86062,0.75646,0.80594,0.45368,1.68332,4.75961,1.78866,0.00012794,0.00012794,0.00012794
63,1468.38,1.33365,3.63451,1.48985,0.84096,0.75617,0.82436,0.45841,1.69649,4.82294,1.82296,0.000124743,0.000124743,0.000124743
64,1491.67,1.29358,3.70567,1.48347,0.79934,0.7355,0.79508,0.4385,1.71654,4.8074,1.81692,0.000121545,0.000121545,0.000121545
