epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,930.767,1.12158,2.49159,1.35026,0.79559,0.72864,0.77562,0.46004,1.57338,3.65043,1.82068,0.000191894,0.000191894,0.000191894
43,951.99,1.12427,2.43309,1.34457,0.81884,0.698,0.79244,0.4625,1.56907,3.59851,1.78025,0.000188697,0.000188697,0.000188697
44,973.282,1.10952,2.41365,1.33591,0.85787,0.69106,0.76287,0.45719,1.55578,3.81946,1.84345,0.000185499,0.000185499,0.000185499
45,995.002,1.11223,2.3753,1.3315,0.80176,0.74149,0.77714,0.47098,1.52992,3.75553,1.76603,0.000182301,0.000182301,0.000182301
46,1016.37,1.06018,2.21123,1.29323,0.84717,0.73346,0.79755,0.48247,1.56104,3.42499,1.77577,0.000179103,0.000179103,0.000179103
47,1038,1.0855,2.20653,1.32283,0.81983,0.73943,0.78778,0.47374,1.53481,3.3196,1.76722,0.000175906,0.000175906,0.000175906
48,1059.05,1.09921,2.35862,1.33356,0.90176,0.70442,0.81037,0.46491,1.62217,3.5593,1.84673,0.000172708,0.000172708,0.000172708
49,1080.8,1.06368,2.25744,1.29645,0.85626,0.7164,0.79847,0.46367,1.54785,3.53942,1.79646,0.00016951,0.00016951,0.00016951
50,1102.37,1.05529,2.21617,1.29032,0.86824,0.71733,0.79231,0.47947,1.52073,3.57859,1.77739,0.000166313,0.000166313,0.000166313
51,1123.29,1.04362,2.2144,1.29159,0.86224,0.70733,0.77612,0.47781,1.5192,3.46775,1.78912,0.000163115,0.000163115,0.000163115
52,1144.83,1.07492,2.21589,1.29838,0.87545,0.69061,0.78917,0.46692,1.50639,3.54931,1.74732,0.000159917,0.000159917,0.000159917
53,1166.68,1.01115,2.0453,1.26615,0.84754,0.75917,0.80548,0.48742,1.56977,3.38659,1.91856,0.00015672,0.00015672,0.00015672
54,1188.21,1.03363,2.16593,1.29679,0.80496,0.72644,0.79679,0.47592,1.55783,3.53863,1.84921,0.000153522,0.000153522,0.000153522
55,1210.19,0.99473,2.02426,1.26918,0.82448,0.75341,0.79026,0.4961,1.47538,3.59659,1.72393,0.000150324,0.000150324,0.000150324
56,1231.4,1.01652,2.07991,1.2581,0.82395,0.7253,0.76783,0.47707,1.50042,3.60821,1.79332,0.000147126,0.000147126,0.000147126
57,1252.85,1.00422,2.02031,1.25832,0.86642,0.72758,0.79395,0.4845,1.49497,3.37872,1.7953,0.000143929,0.000143929,0.000143929
58,1274.26,1.0055,1.92631,1.26227,0.83107,0.72278,0.77974,0.475,1.52721,3.45974,1.81822,0.000140731,0.000140731,0.000140731
59,1296.18,1.00872,2.00868,1.25981,0.84652,0.73812,0.79175,0.4992,1.45956,3.43279,1.73116,0.000137533,0.000137533,0.000137533
60,1317.99,0.99316,1.96394,1.24313,0.88151,0.7395,0.81284,0.5014,1.53372,3.29595,1.77704,0.000134336,0.000134336,0.000134336
61,1339.18,0.99766,1.95424,1.26286,0.81625,0.74925,0.78994,0.48404,1.5404,3.52227,1.76261,0.000131138,0.000131138,0.000131138
62,1361,0.95532,1.87226,1.21858,0.8798,0.74533,0.81703,0.50571,1.55238,3.27334,1.82423,0.00012794,0.00012794,0.00012794
63,1382.59,0.98792,1.87538,1.25465,0.82985,0.77032,0.81053,0.48925,1.53262,3.40156,1.81868,0.000124743,0.000124743,0.000124743
64,1404.24,0.97671,1.90637,1.22799,0.87397,0.72002,0.79892,0.48791,1.55673,3.54357,1.83845,0.000121545,0.000121545,0.000121545
65,1426.09,0.95132,1.85337,1.24204,0.86728,0.73417,0.79881,0.49767,1.51405,3.36598,1.8453,0.000118347,0.000118347,0.000118347
66,1447.84,0.96242,1.83573,1.22924,0.86444,0.75888,0.79943,0.50269,1.48877,3.39456,1.80995,0.000115149,0.000115149,0.000115149
67,1470.06,0.93392,1.76995,1.21873,0.88224,0.72122,0.80702,0.50852,1.49673,3.449,1.79645,0.000111952,0.000111952,0.000111952
68,1491.46,0.96891,1.82124,1.21878,0.87724,0.75218,0.81577,0.49378,1.50279,3.21875,1.80582,0.000108754,0.000108754,0.000108754
69,1512.8,0.93531,1.77239,1.21047,0.85869,0.73087,0.78534,0.49279,1.51983,3.55505,1.82351,0.000105556,0.000105556,0.000105556
70,1534.11,0.89026,1.65373,1.18589,0.85408,0.73268,0.80708,0.51989,1.48404,3.76611,1.75974,0.000102359,0.000102359,0.000102359
71,1556.17,0.91114,1.78207,1.20117,0.88992,0.73775,0.80844,0.51645,1.51835,3.42405,1.80921,9.9161e-05,9.9161e-05,9.9161e-05
72,1578.05,0.91907,1.73548,1.21205,0.87818,0.74977,0.80698,0.49434,1.50577,3.35526,1.81026,9.59633e-05,9.59633e-05,9.59633e-05
73,1599.31,0.89372,1.74439,1.19912,0.8451,0.72346,0.8021,0.49925,1.49542,3.39175,1.81664,9.27656e-05,9.27656e-05,9.27656e-05
74,1620.46,0.89279,1.69648,1.18945,0.8621,0.73389,0.80572,0.50014,1.51271,3.35437,1.83379,8.95679e-05,8.95679e-05,8.95679e-05
75,1642.03,0.88256,1.6575,1.17215,0.8592,0.73357,0.7995,0.49788,1.48076,3.37396,1.79648,8.63702e-05,8.63702e-05,8.63702e-05
76,1664.02,0.90835,1.72251,1.20191,0.87032,0.75992,0.81932,0.49659,1.49951,3.33263,1.83323,8.31725e-05,8.31725e-05,8.31725e-05
77,1685.75,0.90626,1.70625,1.21446,0.85369,0.74455,0.81202,0.51018,1.5066,3.2932,1.82807,7.99748e-05,7.99748e-05,7.99748e-05
78,1707.82,0.87023,1.62625,1.18218,0.86918,0.77024,0.82643,0.5097,1.53425,3.22085,1.81841,7.67771e-05,7.67771e-05,7.67771e-05
79,1729.35,0.86728,1.67009,1.17759,0.85873,0.75252,0.81244,0.50272,1.54009,3.26957,1.83732,7.35794e-05,7.35794e-05,7.35794e-05
80,1750.93,0.87822,1.64805,1.17976,0.90741,0.74262,0.82854,0.51839,1.52564,3.35902,1.84106,7.03817e-05,7.03817e-05,7.03817e-05
81,1773.22,0.80452,1.31248,1.14221,0.85775,0.76864,0.81392,0.50062,1.54907,3.16725,1.93452,6.7184e-05,6.7184e-05,6.7184e-05
82,1793.95,0.77807,1.22465,1.13992,0.84974,0.7117,0.77672,0.50091,1.48783,3.35118,1.84647,6.39863e-05,6.39863e-05,6.39863e-05
83,1815.7,0.76878,1.1987,1.11422,0.8628,0.72496,0.78135,0.5005,1.46973,3.33438,1.84881,6.07886e-05,6.07886e-05,6.07886e-05
84,1837.1,0.7576,1.17702,1.1132,0.86685,0.72223,0.7886,0.49914,1.49392,3.12076,1.89143,5.75909e-05,5.75909e-05,5.75909e-05
85,1858.25,0.73514,1.15321,1.09358,0.84928,0.75085,0.81316,0.51185,1.48308,3.06674,1.8504,5.43932e-05,5.43932e-05,5.43932e-05
86,1879.58,0.74671,1.14981,1.11239,0.84506,0.73744,0.79915,0.50547,1.49284,3.1716,1.86351,5.11955e-05,5.11955e-05,5.11955e-05
87,1901.13,0.74565,1.17362,1.10461,0.8536,0.72722,0.80166,0.50457,1.49918,3.21423,1.85974,4.79978e-05,4.79978e-05,4.79978e-05
88,1923.23,0.72428,1.13405,1.09644,0.83614,0.72319,0.78938,0.50083,1.50517,3.19395,1.90375,4.48001e-05,4.48001e-05,4.48001e-05
89,1945.4,0.74264,1.12609,1.11848,0.84362,0.72166,0.77961,0.51192,1.47569,3.28614,1.87127,4.16024e-05,4.16024e-05,4.16024e-05
90,1966.97,0.70889,1.05922,1.0925,0.83339,0.73334,0.779,0.51978,1.48088,3.29399,1.89975,3.84047e-05,3.84047e-05,3.84047e-05
