epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2505.33,2.03172,7.21631,1.47613,0.7865,0.66522,0.74454,0.37349,2.48788,7.31,1.65761,0.00295205,0.00295205,0.00295205
43,2539.03,1.98327,7.06401,1.48689,0.79996,0.62429,0.73011,0.38798,2.44499,7.84816,1.65949,0.0029021,0.0029021,0.0029021
44,2572.78,2.0549,7.21471,1.49351,0.73101,0.70711,0.75159,0.40667,2.31522,7.19897,1.55182,0.00285215,0.00285215,0.00285215
45,2606.64,2.05117,7.32883,1.50437,0.69432,0.72435,0.74683,0.39058,2.37851,7.13388,1.57858,0.0028022,0.0028022,0.0028022
46,2640.44,1.93693,6.9317,1.46828,0.72322,0.6834,0.74782,0.38446,2.44419,7.17359,1.63462,0.00275225,0.00275225,0.00275225
47,2674.03,1.97655,6.9695,1.47794,0.77488,0.67042,0.75396,0.39221,2.41969,7.18827,1.6164,0.0027023,0.0027023,0.0027023
48,2709.07,1.94225,6.93417,1.45556,0.75291,0.7467,0.77721,0.42026,2.29524,6.90603,1.54347,0.00265235,0.00265235,0.00265235
49,2744.4,2.00445,7.0622,1.47994,0.75356,0.75042,0.76884,0.40893,2.33258,7.22042,1.56209,0.0026024,0.0026024,0.0026024
50,2779,1.96911,6.94556,1.45973,0.72931,0.77915,0.78252,0.42273,2.28553,7.09813,1.52241,0.00255245,0.00255245,0.00255245
51,2815.75,1.95437,6.73672,1.45161,0.76704,0.77756,0.77882,0.43107,2.31019,6.90112,1.54702,0.0025025,0.0025025,0.0025025
52,2851.63,1.95887,6.62892,1.46621,0.76119,0.77113,0.78636,0.44093,2.27903,6.92711,1.52058,0.00245255,0.00245255,0.00245255
53,2887.23,1.95651,6.60358,1.44966,0.77895,0.74082,0.78072,0.43722,2.29792,6.41751,1.54301,0.0024026,0.0024026,0.0024026
54,2921.93,1.9478,6.5086,1.4516,0.7217,0.74172,0.75701,0.41877,2.31123,6.74946,1.52726,0.00235265,0.00235265,0.00235265
55,2958.01,1.9673,6.56687,1.43714,0.81043,0.70935,0.79247,0.43381,2.3502,6.22692,1.54461,0.0023027,0.0023027,0.0023027
56,2991.53,1.95941,6.41574,1.44588,0.74615,0.77946,0.7755,0.43203,2.31687,5.98085,1.52017,0.00225275,0.00225275,0.00225275
57,3028.02,1.91498,6.24333,1.44861,0.78149,0.74663,0.79814,0.4534,2.28289,6.08645,1.52012,0.0022028,0.0022028,0.0022028
58,3064.38,1.94108,6.32144,1.44054,0.76951,0.70345,0.76919,0.43392,2.28124,6.37196,1.52954,0.00215285,0.00215285,0.00215285
59,3100.12,1.91687,6.33004,1.42806,0.77208,0.74009,0.789,0.45571,2.25754,6.21819,1.51175,0.0021029,0.0021029,0.0021029
60,3134.59,1.93829,6.22454,1.43565,0.82068,0.72888,0.79238,0.44976,2.26789,6.25055,1.51413,0.00205295,0.00205295,0.00205295
61,3170.83,1.92695,6.24273,1.44183,0.81871,0.70629,0.78866,0.44749,2.25896,6.53538,1.51005,0.002003,0.002003,0.002003
62,3206.47,1.89751,6.21114,1.40886,0.72855,0.73877,0.76318,0.43689,2.27093,6.51203,1.52185,0.00195305,0.00195305,0.00195305
63,3243.2,1.93201,6.49124,1.45239,0.76347,0.72052,0.76891,0.43495,2.26576,6.34488,1.50421,0.0019031,0.0019031,0.0019031
64,3279,1.87614,6.00841,1.40621,0.76164,0.7302,0.77855,0.44864,2.21057,6.30604,1.49389,0.00185315,0.00185315,0.00185315
65,3315.59,1.8808,6.06481,1.41481,0.76128,0.73883,0.76579,0.43112,2.22375,6.77187,1.50972,0.0018032,0.0018032,0.0018032
66,3350.96,1.883,6.0137,1.40971,0.78862,0.70517,0.77222,0.42877,2.26144,6.73788,1.50855,0.00175325,0.00175325,0.00175325
